      1  2  3     4      5  6     7       8  
     49 10 14 49.394972 10 14 49.406587 12000
     50 10 14 49.404977 10 14 49.416620 12000
     51 10 14 49.414977 10 14 49.432431 12000
     52 10 14 49.424973 10 14 49.442312 12000
     53 10 14 49.434981 10 14 49.452361 12000
     54 10 14 49.444971 10 14 49.462113 12000
     55 10 14 49.454968 10 14 49.471992 12000
     56 10 14 49.464925 10 14 49.481895 12000
     57 10 14 49.474947 10 14 49.491790 12000
     58 10 14 49.484977 10 14 49.501674 12000
     59 10 14 49.494970 10 14 49.512658 12000
     60 10 14 49.505206 10 14 49.521483 12000
     61 10 14 49.514969 10 14 49.531416 12000
     62 10 14 49.524984 10 14 49.541313 12000
     63 10 14 49.534972 10 14 49.551198 12000
     64 10 14 49.544972 10 14 49.561095 12000
     65 10 14 49.554980 10 14 49.570987 12000
     66 10 14 49.564971 10 14 49.580883 12000
     67 10 14 49.575262 10 14 49.590777 12000
     68 10 14 49.584924 10 14 49.600669 12000
     69 10 14 49.594946 10 14 49.610562 12000
     70 10 14 49.604971 10 14 49.620483 12000
     71 10 14 49.614972 10 14 49.630350 12000
     72 10 14 49.624971 10 14 49.640248 12000
     73 10 14 49.634971 10 14 49.650148 12000
     74 10 14 49.644972 10 14 49.660032 12000
     75 10 14 49.654977 10 14 49.669929 12000
     76 10 14 49.664971 10 14 49.679825 12000
     77 10 14 49.674931 10 14 49.689717 12000
     78 10 14 49.684972 10 14 49.699613 12000
     79 10 14 49.694974 10 14 49.709508 12000
     80 10 14 49.704990 10 14 49.719397 12000
     81 10 14 49.714972 10 14 49.729295 12000
     82 10 14 49.724972 10 14 49.739185 12000
     83 10 14 49.734972 10 14 49.749093 12000
     84 10 14 49.744971 10 14 49.758972 12000
     85 10 14 49.754978 10 14 49.768867 12000
     86 10 14 49.764972 10 14 49.778762 12000
     87 10 14 49.774971 10 14 49.788663 12000
     88 10 14 49.784975 10 14 49.798554 12000
     89 10 14 49.794972 10 14 49.808441 12000
     90 10 14 49.804958 10 14 49.818336 12000
     91 10 14 49.814936 10 14 49.828243 12000
